"","lat","lon","swflx","swflx.25","swflx.75","lwflx","lwflx.25","lwflx.75","sat","tdiff","time.rel","sza"
"18",75.6938454343267,-3.9260553187653,315.789960359272,303.453170776367,334.115783691406,211.73937747353,210.337028503418,212.525108337402,"CERES",0,-20,58.998487974468
"19",75.3118070861702,-3.07580798286376,329.557644114775,325.159851074219,339.402221679688,212.757643755744,211.270797729492,214.434616088867,"CERES",1,-19,58.599936541389
"20",75.3118070861702,-3.07580798286376,326.860652378627,320.667388916016,333.226623535156,209.332615443638,208.337432861328,210.211318969727,"CERES",-1,-19,60.7938368661063
"21",74.936128846027,-2.17364670565131,341.766826629639,330.255493164062,354.676681518555,211.208295822144,210.043533325195,211.958801269531,"CERES",0,-18,60.6056733131409
"22",74.5656654667833,-1.23434951809831,357.035070800781,352.715049743652,362.364624023438,213.090026855469,211.947563171387,214.180770874023,"CERES",1,-17,60.4828002929687
"23",79.2634950410846,-7.88552866406177,92.8291273117065,89.9356842041016,96.0738372802734,207.434373855591,206.421127319336,208.509380340576,"CERES",1,-29,83.2496404647827
"24",79.2634950410846,-7.88552866406177,130.999701182048,127.802402496338,134.773380279541,206.355164845785,205.093635559082,207.604988098145,"CERES",0,-29,80.6210854848226
"25",78.8257947231667,-8.07084614510236,127.071368290828,123.219329833984,129.621398925781,207.723013070913,206.644256591797,208.815231323242,"CERES",1,-28,80.8813030536358
"26",78.8257947231667,-8.07084614510236,189.131410386827,185.30782699585,191.932994842529,205.954866197374,204.852142333984,207.08731842041,"CERES",-1,-28,76.7356601291233
"27",78.4098487050223,-8.05447592201972,187.157903883192,183.804321289062,188.592761993408,206.816268920898,205.958976745605,207.60827255249,"CERES",0,-27,76.8615578545464
"28",78.0341237056139,-7.83043293381832,181.640548706055,180.31184387207,186.109973907471,207.920516967773,206.928318023682,208.30179977417,"CERES",1,-26,76.936223771837
"29",78.0341237056139,-7.83043293381832,256.229361979167,253.336860656738,260.608551025391,206.83952331543,206.067283630371,207.569664001465,"CERES",-1,-26,71.8142588297526
"30",77.6541179006535,-7.40101863491724,249.27033996582,244.56908416748,256.159332275391,208.656432088216,207.2509765625,209.374320983887,"CERES",0,-25,71.687787882487
"31",77.2662886469799,-6.84032724830683,245.334279378255,236.550888061523,252.128601074219,210.346469116211,208.304809570312,212.30322265625,"CERES",1,-24,71.5333806355794
"32",77.6541179006535,-7.40101863491724,316.472763061523,303.019340515137,332.969352722168,208.942999839783,207.471588134766,210.292442321777,"CERES",-1,-25,66.6307196617126
"33",77.2662886469799,-6.84032724830683,307.248568021334,297.365295410156,321.633087158203,210.488751924955,208.187377929688,212.30842590332,"CERES",0,-24,66.3503112792969
"34",76.8699479569404,-6.20156107959605,298.464674886068,283.18798828125,313.392684936523,212.616779581706,208.566070556641,215.924858093262,"CERES",1,-23,66.0147054036458
"35",76.8699479569404,-6.20156107959605,335.6723094267,307.410614013672,360.174774169922,212.001020543716,209.453689575195,214.643600463867,"CERES",-1,-23,61.9595408720129
"36",76.4745427930824,-5.50423644365251,304.093907406456,289.058013916016,324.185516357422,212.165668688322,210.332397460938,214.130226135254,"CERES",0,-22,61.544518320184
"37",76.083415409702,-4.74566351999629,295.670147365994,277.259567260742,310.69847869873,211.839527553982,210.407520294189,213.473434448242,"CERES",1,-21,61.1400125291612
"38",76.083415409702,-4.74566351999629,322.952209472656,307.156311035156,343.219451904297,210.271863555908,209.243381500244,211.621246337891,"CERES",-1,-21,59.3769912719727
"39",75.6938454343267,-3.9260553187653,314.571882459852,295.858772277832,327.893486022949,210.626169840495,209.99893951416,211.581836700439,"CERES",0,-20,58.9555710686578
"40",75.3118070861702,-3.07580798286376,323.622919082642,309.447074890137,345.601173400879,212.889898300171,211.15701675415,214.641574859619,"CERES",1,-19,58.5716562271118
"41",75.6938454343267,-3.9260553187653,328.588099888393,323.746856689453,333.718246459961,210.164396013532,209.434272766113,210.839691162109,"CERES",-1,-20,60.0844116210938
"42",75.3118070861702,-3.07580798286376,334.804767608643,330.99853515625,339.197547912598,210.412353515625,209.667041778564,211.228168487549,"CERES",0,-19,59.849835395813
"43",74.936128846027,-2.17364670565131,344.013031005859,337.46076965332,348.098693847656,211.138831002372,210.590034484863,212.003807067871,"CERES",1,-18,59.7818668910435
"44",79.2634950410846,-7.88552866406177,110.008079528809,106.08561706543,113.612846374512,206.832153320312,205.813766479492,207.193237304688,"CERES",1,-29,82.190173678928
"45",79.2634950410846,-7.88552866406177,162.691108340309,159.511444091797,165.817626953125,205.33587937128,204.294525146484,206.271957397461,"CERES",-1,-29,78.6476236979167
"46",78.8257947231667,-8.07084614510236,155.783518174115,151.599685668945,160.299499511719,206.806293263155,205.870239257812,207.427597045898,"CERES",0,-28,78.9529580508961
"47",78.4098487050223,-8.05447592201972,146.105113841869,137.940284729004,152.93212890625,208.117108380353,207.168952941895,209.089134216309,"CERES",1,-27,79.1703683358652
"48",78.4098487050223,-8.05447592201972,225.125151634216,223.018981933594,226.403644561768,204.957818031311,204.612400054932,205.124000549316,"CERES",-1,-27,74.5455465316772
"49",78.0341237056139,-7.83043293381832,216.071421006147,215.666046142578,220.980117797852,207.205201990464,205.910934448242,208.88623046875,"CERES",0,-26,74.4663871316349
"50",77.6541179006535,-7.40101863491724,208.257230486189,200.559310913086,217.640640258789,209.206937517439,208.691146850586,210.024520874023,"CERES",1,-25,74.4481586274647
"51",78.0341237056139,-7.83043293381832,283.481815113741,276.637390136719,293.616882324219,207.594161987305,206.437911987305,208.621719360352,"CERES",-1,-26,69.2669728597005
"52",77.6541179006535,-7.40101863491724,274.094536276425,263.842407226562,282.545379638672,209.217953850241,208.394454956055,209.791915893555,"CERES",0,-25,69.113930646111
"53",77.2662886469799,-6.84032724830683,271.287026145241,263.285552978516,278.716262817383,210.653696233576,209.392189025879,211.734115600586,"CERES",1,-24,68.9020059758967
"54",77.2662886469799,-6.84032724830683,331.492051344651,313.872833251953,356.174926757812,202.190380389874,206.560958862305,209.433334350586,"CERES",-1,-24,64.2025465284075
"55",76.8699479569404,-6.20156107959605,304.394300981001,301.526351928711,319.309844970703,204.027227228338,209.128440856934,211.522109985352,"CERES",0,-23,63.7917279330167
"56",76.4745427930824,-5.50423644365251,294.447780354818,283.617736816406,305.033401489258,211.153230794271,209.650466918945,211.588287353516,"CERES",1,-22,63.4601524353027
"57",76.4745427930824,-5.50423644365251,328.003516515096,309.922775268555,350.015060424805,210.697014172872,208.420234680176,212.844787597656,"CERES",-1,-22,60.4323720932007
"58",76.083415409702,-4.74566351999629,296.525624411447,282.249610900879,304.027442932129,210.036181313651,208.375,211.548564910889,"CERES",0,-21,59.9722581590925
"59",75.6938454343267,-3.9260553187653,307.313903808594,289.720718383789,325.771774291992,210.639497414613,209.340316772461,211.966804504395,"CERES",1,-20,59.3420506012745
"60",76.083415409702,-4.74566351999629,322.55500793457,316.788673400879,330.095153808594,209.235812595912,207.951519012451,210.129657745361,"CERES",-1,-21,59.54440171378
"61",75.6938454343267,-3.9260553187653,313.376452636719,303.230285644531,323.121658325195,209.157331339518,208.854118347168,210.19881439209,"CERES",0,-20,59.2302866617839
"62",75.3118070861702,-3.07580798286376,319.121170043945,308.530395507812,330.103370666504,209.998414357503,209.427803039551,210.644340515137,"CERES",1,-19,58.9264539082845
"63",75.6938454343267,-3.9260553187653,NA,NA,NA,NA,NA,NA,"CERES",-1,-20,NA
"64",75.3118070861702,-3.07580798286376,320.930963134766,316.243644714355,329.037658691406,208.519454956055,207.780933380127,209.238914489746,"CERES",-1,-19,61.6408446629842
"65",74.936128846027,-2.17364670565131,330.762400309245,324.931121826172,339.896057128906,209.683885362413,209.318801879883,210.194961547852,"CERES",0,-18,61.7032159658579
"66",74.5656654667833,-1.23434951809831,332.985420227051,320.707206726074,348.146697998047,210.240756988525,209.7900390625,210.527118682861,"CERES",1,-17,61.646305847168
"67",76.8699479569404,-6.20156107959605,335.068377685547,325.552215576172,336.214630126953,212.016934204102,209.014404296875,213.739562988281,"CERES",-1,-23,61.6890632629395
"68",76.4745427930824,-5.50423644365251,306.510014125279,287.301818847656,325.708969116211,212.67140851702,212.537124633789,213.709487915039,"CERES",0,-22,61.292676108224
"69",76.083415409702,-4.74566351999629,290.833660888672,287.336486816406,294.022613525391,213.080859375,211.94465637207,213.679412841797,"CERES",1,-21,60.8918724060059
"70",76.083415409702,-4.74566351999629,316.254674574908,300.642242431641,331.17919921875,212.039202521829,210.997161865234,212.547164916992,"CERES",-1,-21,59.3050530377556
"71",75.6938454343267,-3.9260553187653,315.70306854248,300.746200561523,337.730590820313,212.970615386963,211.908515930176,214.051818847656,"CERES",0,-20,58.9069034576416
"72",75.3118070861702,-3.07580798286376,320.593186811967,310.088500976562,340.537399291992,214.420687588778,212.927093505859,215.512584686279,"CERES",1,-19,58.5615912350741
"73",75.6938454343267,-3.9260553187653,335.591860684482,327.623962402344,341.269432067871,211.179259560325,209.761058807373,213.348743438721,"CERES",-1,-20,60.3021224628795
"74",75.3118070861702,-3.07580798286376,342.501956176758,334.153167724609,349.910713195801,211.985568237305,210.202465057373,214.134536743164,"CERES",0,-19,60.1155239105225
"75",74.936128846027,-2.17364670565131,346.268522563734,341.140380859375,353.100524902344,214.140096564042,213.369728088379,215.265319824219,"CERES",1,-18,59.8267119558234
"76",74.936128846027,-2.17364670565131,313.865674336751,310.377235412598,319.197303771973,213.767506917318,213.23363494873,214.550193786621,"CERES",-1,-18,64.0118366877238
"77",74.5656654667833,-1.23434951809831,317.833209228516,308.025886535645,322.984878540039,214.374667358398,213.851951599121,214.924198150635,"CERES",0,-17,63.9968677520752
