"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","cc.025","cc.975","sat"
"30",36.5548955557377,-68.8855567316274,0.926365795724466,2.94653815578147,-4.7662889268663,70.0169425406394,872.777317101275,0,1.66666666666667,81.3925831810596,0.814814814814815,1,"GOES16"
"31",36.4413573150923,-68.7065089102955,0.843230403800475,2.94992734095901,-4.83360502823536,6.81871911069276,364.695900119932,0,2,85.396241883484,0.625,1,"GOES16"
"32",36.3257633060064,-68.5342493757936,0.716312056737589,2.90996284309722,-4.38583214203892,4.89884325481476,234.044769343953,0,2.33333333333333,89.4573299146431,0.48,0.925925925925926,"GOES16"
"33",36.2101692969205,-68.3619898412918,0.690307328605201,2.816010863162,-3.26597097837007,5.68572842905707,241.932073641834,0,2.66666666666667,93.5781677642894,0.464285714285714,0.92,"GOES16"
"34",36.0945752878346,-68.1897303067899,0.656470588235294,2.71390394888062,-2.01256202292325,4.86020152800223,215.531321130834,0,3,97.7327124202953,0.4,0.892857142857143,"GOES16"
"35",35.9741229300153,-68.0188272388411,0.583924349881797,2.66271234642376,-1.51763932969832,4.28323733179564,209.463958271031,0,3.33333333333333,101.906476176377,0.375,0.925925925925926,"GOES16"
"36",35.8536705721961,-67.8479241708923,0.579439252336449,2.64907505778811,-1.31497415513846,3.95810451118328,217.565968427304,0,3.66666666666667,106.099799325533,0.291666666666667,0.925925925925926,"GOES16"
"37",35.7332182143768,-67.6770211029435,0.57210401891253,2.54653824686699,-1.05828675565205,3.8687731048035,195.895316138037,0,4,110.055430491202,0.368421052631579,0.871739130434781,"GOES16"
"38",35.6110513380353,-67.5054665171666,0.561771561771562,2.44912084776397,-0.0936658597459716,3.36928203653344,180.198754884063,0,4.33333333333333,114.292896599758,0.384615384615385,0.76,"GOES16"
"39",35.4888844616939,-67.3339119313897,0.511737089201878,2.42218715178244,0.131134403113188,3.30441515626902,179.88396888148,0,4.66666666666667,118.447679421152,0.296296296296296,0.777777777777778,"GOES16"
"40",35.3667175853524,-67.1623573456129,0.475638051044084,2.4086172679798,0.172402873580273,3.08566439241655,182.946930188675,0,5,122.564169669096,0.277777777777778,0.8,"GOES16"
"41",35.2519951310266,-67.0051737381893,0.447795823665893,2.43631466155384,-0.067319313090091,2.8076843117945,172.752447321137,0,5.33333333333333,126.602400511987,0.25,0.739130434782609,"GOES16"
"42",35.1372726767008,-66.8479901307657,0.423963133640553,2.370266732112,0.38476789179126,2.61973241483149,150.811377633519,0,5.66666666666667,130.554411927676,0.25,0.769230769230769,"GOES16"
"43",35.022550222375,-66.6908065233421,0.399082568807339,2.39123135064099,0.190105335132519,2.46858286591025,146.172425645342,0,6,134.388297999671,0.1875,0.769230769230769,"GOES16"
