"","time","lwp","trel"
"125",42100,61.8739318847656,-0.305555555555556
"126",42120,61.8739318847656,-0.3
"127",42140,61.8739318847656,-0.294444444444444
"128",42160,61.4583206176758,-0.288888888888889
"129",42180,61.8571243286133,-0.283333333333333
"130",42200,61.1583137512207,-0.277777777777778
"131",42220,61.2436790466309,-0.272222222222222
"132",42240,60.6806526184082,-0.266666666666667
"133",42260,60.7416496276855,-0.261111111111111
"134",42280,60.0419998168945,-0.255555555555556
"135",42300,59.924976348877,-0.25
"136",42320,60.1176261901855,-0.244444444444444
"137",42340,60.1916427612305,-0.238888888888889
"138",42360,60.4957809448242,-0.233333333333333
"139",42380,56.4033432006836,-0.227777777777778
"140",42400,56.0749893188477,-0.222222222222222
"141",42420,48.7310752868652,-0.216666666666667
