"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"16",33.2923531542536,-68.4311260750941,0,NA,NA,NA,NA,-1,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIIRS"
"17",33.1518371305516,-68.3479830379729,0,NA,NA,NA,NA,0,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIIRS"
"18",32.9972252668392,-68.2978767112085,0,NA,NA,NA,NA,1,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIIRS"
"19",33.2788773544283,-68.4219911480706,0,3293.41175868074,-0.769379145674969,0,NA,-1,15.4,131.361117993806,-2.56337747685609,-0.539952565543331,0,0,NA,NA,2633,3808,0,0,0,"VIIRS"
"20",33.13644198891,-68.3415835219875,0,3452.19993797168,-1.27795019007667,0,NA,0,16.4,131.369518329939,-2.62685747407374,-1.46834752485154,0,0,NA,NA,3613,3847,0,0,0,"VIIRS"
"21",32.9816099760987,-68.296106806253,0,3580.6825462867,-1.62592337918901,0,NA,1,17.4,131.407827254882,-2.60305247511712,-1.93651250433174,0,0,NA,NA,3720,3872,0,0,0,"VIIRS"
"22",35.9992222631435,-71.1010788078344,0.997510373443983,4272.22208883554,-12.2052093666771,53.1343706777317,171.370661887817,-1,0.5,39.1546583679115,-12.6190057861153,-11.726318325242,28.655,67.21,127.869829715692,225.491535520364,4222.75,4325.25,0.980237097695677,1,44.53,"VIIRS"
"23",35.68362967439,-70.7803674978527,0.995713673381912,4230.25496461995,-11.2143365167647,49.5592606086584,179.237725079982,0,1.5,38.7904329189884,-11.7838470727205,-10.7443621182814,26.0525,64.93,140.726047919447,212.628337759021,4197,4288,0.978102189781022,1,42.55,"VIIRS"
"24",35.4014959001731,-70.496955671996,0.993228795438346,4147.33758918513,-10.1916385882453,42.2897238061297,174.291032838863,1,2.5,38.4637348538845,-10.9665421085432,-9.65726716592906,20.8775,55.9225,135.133094559064,211.013081136483,4126,4230,0.975,1,34.905,"VIIRS"
"25",35.4811277933643,-70.576858538292,0.969460869565217,3934.32413116595,-8.70624533716711,34.935051826087,162.758244075178,-1,2.2,42.6416090434783,-9.76835716105995,-8.47495221775023,18.19,44.53,125.033892648799,192.176421422594,3943,4083,0.869419714194403,1,30.28,"VIIRS"
"26",35.2195887844554,-70.3131782421695,0.912270683132272,3687.03710669081,-6.95757078877791,26.2627161110714,142.548174683855,0,3.2,42.5196245270897,-8.7923522038385,-6.8324072897434,10.17,35.72,104.219483558853,175.285432547916,3795,3996,0.678848283499446,1,21.54,"VIIRS"
"27",34.9768355048789,-70.0648990875288,0.892197125256673,3544.20294599019,-5.73150784647693,21.9638955705485,141.908016396299,1,4.2,42.4099589322382,-7.57829725705085,-5.84846733286975,7.41,30.28,96.7069428518467,179.013291325749,3643,3898,0.679443436176649,0.99645390070922,16.84,"VIIRS"
"28",33.3875331145541,-68.509878850088,0,2718.78234914489,1.53748936300484,0,NA,-1,14.5,139.662766165267,-1.66672251615671,2.59635604699145,0,0,NA,NA,2207.75,3603,0,0,0,"VIIRS"
"29",33.2654015546029,-68.412856221047,0,2665.27757338552,1.54935489317522,0,NA,0,15.5,139.68502139143,-1.30171253215519,2.28887481046843,0,0,NA,NA,2254,3571,0,0,0,"VIIRS"
"30",33.1210468472685,-68.335184006002,0,2825.35672514618,0.915885532927677,0,NA,1,16.5,139.73210540307,-1.37312752902506,1.26922735515984,0,0,NA,NA,2397,3599,0,0,0,"VIIRS"
