"","time","lwp","cth","trel"
"564",41856,83.5633544921875,2710,-0.373333333333333
"565",41860,83.5633544921875,2710,-0.372222222222222
"566",41864,83.5633544921875,2710,-0.371111111111111
"567",41868,83.5633544921875,2710,-0.37
"568",41872,108.021156311035,2710,-0.368888888888889
"569",41876,108.021156311035,2710,-0.367777777777778
"570",41880,108.021156311035,2710,-0.366666666666667
"571",41884,108.021156311035,2710,-0.365555555555556
"572",41888,108.021156311035,2680,-0.364444444444444
"573",41892,55.9396324157715,2680,-0.363333333333333
"574",41896,55.9396324157715,2650,-0.362222222222222
"575",41900,55.9396324157715,2650,-0.361111111111111
"576",41904,55.9396324157715,2650,-0.36
"577",41908,55.9396324157715,2650,-0.358888888888889
"578",41912,44.1892471313477,2650,-0.357777777777778
"579",41916,44.1892471313477,2650,-0.356666666666667
"580",41920,44.1892471313477,2680,-0.355555555555556
"581",41924,44.1892471313477,2680,-0.354444444444444
"582",41928,44.1892471313477,2680,-0.353333333333333
"583",41932,37.6815528869629,2680,-0.352222222222222
"584",41936,37.6815528869629,2680,-0.351111111111111
"585",41940,37.6815528869629,2680,-0.35
"586",41944,37.6815528869629,2680,-0.348888888888889
"587",41948,37.6815528869629,2680,-0.347777777777778
"588",41952,16.3867225646973,2680,-0.346666666666667
"589",41956,16.3867225646973,2680,-0.345555555555556
"590",41960,16.3867225646973,2680,-0.344444444444444
"591",41964,16.3867225646973,2680,-0.343333333333333
"592",41968,16.3867225646973,2650,-0.342222222222222
"593",41972,19.3196125030518,2650,-0.341111111111111
"594",41976,19.3196125030518,2620,-0.34
"595",41980,19.3196125030518,2590,-0.338888888888889
"596",41984,19.3196125030518,2560,-0.337777777777778
"597",41988,19.3196125030518,2560,-0.336666666666667
"598",41992,18.0673389434814,2590,-0.335555555555556
"599",41996,18.0673389434814,2620,-0.334444444444444
"600",42000,18.0673389434814,2620,-0.333333333333333
"601",42004,18.0673389434814,2650,-0.332222222222222
"602",42008,18.0673389434814,2650,-0.331111111111111
"603",42012,6.36584377288818,2680,-0.33
"604",42016,6.36584377288818,2680,-0.328888888888889
"605",42020,6.36584377288818,2650,-0.327777777777778
"606",42024,6.36584377288818,2650,-0.326666666666667
"607",42028,6.36584377288818,2650,-0.325555555555556
"608",42032,3.82676577568054,2650,-0.324444444444444
"609",42036,3.82676577568054,2650,-0.323333333333333
