"","Nqc","Nd.low","Nd.high","Ni","Ni.low","Ni.high","tdiff","sim.time.new","sat"
"122",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"123",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"124",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"125",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"126",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"127",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"128",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"129",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"130",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"131",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"132",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"133",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"134",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"135",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"136",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"137",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"138",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"139",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"140",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"141",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"142",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"143",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"144",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"145",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"146",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"147",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"148",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"149",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"150",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"151",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"152",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"153",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"154",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"155",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
